num,week,capacity,max_capacity
1.00,2021-01-18 - 2021-01-25,35955.00,42158.00
2.00,2021-01-25 - 2021-02-01,35955.00,42158.00
3.00,2021-02-01 - 2021-02-08,34951.00,42158.00
4.00,2021-02-08 - 2021-02-22,27593.00,42158.00
5.00,2021-02-22 - 2021-03-01,27593.00,42158.00
6.00,2021-03-01 - 2021-03-08,27606.00,42158.00
7.00,2021-03-08 - 2021-03-15,31774.00,42158.00
8.00,2021-03-15 - 2021-03-31,31774.00,42158.00
9.00,2021-03-31 - 2021-04-05,29863.00,42158.00
10.00,2021-04-05 - 2021-04-12,29494.00,42158.00
11.00,2021-04-12 - 2021-04-19,27593.00,42158.00
12.00,2021-04-19 - 2021-04-26,27593.00,42158.00
13.00,2021-04-26 - 2021-05-04,27593.00,42158.00
14.00,2021-05-04 - 2021-05-10,27593.00,42158.00
15.00,2021-05-10 - 2021-05-17,27593.00,42158.00
16.00,2021-05-17 - 2021-05-24,27593.00,42158.00
17.00,2021-05-24 - 2021-05-31,27593.00,42158.00
18.00,2021-05-31 - 2021-06-07,27593.00,42158.00
19.00,2021-06-07 - 2021-06-14,27593.00,42158.00
20.00,2021-06-14 - 2021-06-21,27593.00,42158.00
21.00,2021-06-21 - 2021-06-28,27593.00,42158.00
22.00,2021-06-28 - 2021-07-05,27593.00,42158.00
23.00,2021-07-05 - 2021-07-12,28025.00,42158.00
24.00,2021-07-12 - 2021-07-19,31358.00,42158.00
25.00,2021-07-19 - 2021-07-26,31358.00,42158.00
26.00,2021-07-26 - 2021-08-02,31358.00,42158.00
27.00,2021-08-02 - 2021-08-09,31358.00,42158.00
28.00,2021-08-09 - 2021-08-16,31358.00,42158.00
29.00,2021-08-16 - 2021-08-23,31351.00,42158.00
30.00,2021-08-23 - 2021-08-30,30862.00,42158.00
31.00,2021-08-30 - 2021-09-06,30862.00,42158.00
32.00,2021-09-06 - 2021-09-13,30736.00,42158.00
33.00,2021-09-13 - 2021-09-20,30636.00,42158.00
34.00,2021-09-20 - 2021-09-27,30550.00,42158.00
35.00,2021-09-27 - 2021-10-04,29855.00,42158.00
36.00,2021-10-04 - 2021-10-11,27131.00,42158.00
37.00,2021-10-11 - 2021-10-18,27131.00,42158.00
38.00,2021-10-18 - 2021-10-25,27131.00,42158.00
39.00,2021-10-25 - 2021-11-01,27131.00,42158.00
